"order_id","order_date","customer_id","product_id","order_details_id","quantity","order_sales","order_profits","order_profit_ratio","order_discount","customer_name","customer_segment","shipping_region","shipping_city","shipping_state","shipping_country","shipping_postal_code","shipping_date","shipping_mode","product_name","product_category","product_subcategory","product_manufacturer"
"CA-2015-100004","2015-09-06 00:00:00","91","122","1","62","837","327","0.39","0.1","Bill Shonely","Corporate","East","New York City","New York","United States","10011","2015-09-06 00:00:00","Same Day","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100004","2015-09-06 00:00:00","91","764","2","18","2174","565","0.26","0.2","Bill Shonely","Corporate","East","New York City","New York","United States","10011","2015-09-06 00:00:00","Same Day","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global"
"CA-2015-100006","2015-09-07 00:00:00","224","161","3","3","378","110","0.29","0","Dennis Kane","Consumer","East","New York City","New York","United States","10024","2015-09-13 00:00:00","Standard Class","AT&T EL51110 DECT","Technology","Phones","AT&T"
"CA-2015-100032","2015-09-07 00:00:00","62","122","4","53","715","272","0.38","0.1","Arthur Wiediger","Home Office","East","New York City","New York","United States","10025","2015-09-13 00:00:00","Standard Class","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100032","2015-09-07 00:00:00","62","1342","5","23","311","96","0.31","0.1","Arthur Wiediger","Home Office","East","New York City","New York","United States","10025","2015-09-13 00:00:00","Standard Class","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other"
"CA-2015-100032","2015-09-07 00:00:00","62","613","6","16","1506","407","0.27","0.1","Arthur Wiediger","Home Office","East","New York City","New York","United States","10025","2015-09-13 00:00:00","Standard Class","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka"
"CA-2015-100051","2015-09-06 00:00:00","311","812","7","79","909","318","0.35","0.2","Greg Matthias","Consumer","East","New York City","New York","United States","10011","2015-09-12 00:00:00","Standard Class","Holmes Odor Grabber","Office Supplies","Appliances","Holmes"
"CA-2015-100090","2015-07-08 00:00:00","246","1648","8","6","197","69","0.35","0.2","Ed Braxton","Corporate","West","San Francisco","California","United States","94122","2015-07-12 00:00:00","Standard Class","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones"
"CA-2015-100090","2015-07-08 00:00:00","246","819","9","3","502","-88","-0.18","0.2","Ed Braxton","Corporate","West","San Francisco","California","United States","94122","2015-07-12 00:00:00","Standard Class","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon"
"CA-2015-100136","2015-09-05 00:00:00","388","920","10","130","3413","1399","0.41","0.3","John Lee","Consumer","East","New York City","New York","United States","10011","2015-09-11 00:00:00","Standard Class","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation"
